DEPTO_HECHO,MUNICIPIO_HECHO,FECHA_HECHO,BARRIOS_HECHO,DESCRIPCION_CONDUCTA,MODALIDAD,CLASE_SITIO,ZONA,GENERO,PAIS_PERSONA,CARGO_PERSONA,EDAD,2020
ANTIOQUIA,MEDELLÍN (CT),02/02/2020 12:00:00 AM,LA ALPUJARRA C-10,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,VIAS PUBLICAS,URBANA,MASCULINO,PAISES BAJOS,TURISTA EXTRANJERO,35,1
ANTIOQUIA,MEDELLÍN (CT),04/11/2020 12:00:00 AM,BOLIVARIANA C-11,ARTÍCULO 239. HURTO RESIDENCIAS,USO SUSTANCIAS TOXICAS / ESCOPOLAMINADO,VIAS PUBLICAS,URBANA,MASCULINO,CANADA,TURISTA EXTRANJERO,61,1
ANTIOQUIA,MEDELLÍN (CT),02/22/2020 12:00:00 AM,SURAMERICANA C-11,ARTÍCULO 111. LESIONES PERSONALES,RIÑAS,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,SUECIA,TURISTA EXTRANJERO,39,1
ANTIOQUIA,MEDELLÍN (CT),02/22/2020 12:00:00 AM,SURAMERICANA C-11,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,SUECIA,TURISTA EXTRANJERO,39,1
ANTIOQUIA,MEDELLÍN (CT),01/02/2020 12:00:00 AM,CUARTA BRIGADA C-11,ARTÍCULO 239. HURTO RESIDENCIAS,USO SUSTANCIAS TOXICAS / ESCOPOLAMINADO,CASAS DE HABITACION,URBANA,MASCULINO,JAPON,TURISTA EXTRANJERO,28,1
ANTIOQUIA,MEDELLÍN (CT),01/02/2020 12:00:00 AM,JARDIN BOTANICO  C-4,ARTÍCULO 239. HURTO PERSONAS,ATRACO,ESTABLECIMIENTO PUBLICO,URBANA,MASCULINO,SUIZA,TURISTA EXTRANJERO,35,1
ANTIOQUIA,MEDELLÍN (CT),03/20/2020 12:00:00 AM,LOS NARANJOS C-14,ARTÍCULO 239. HURTO PERSONAS,RAPONAZO,VIAS PUBLICAS,URBANA,FEMENINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,30,1
ANTIOQUIA,MEDELLÍN (CT),01/03/2020 12:00:00 AM,EL POBLADO C-14,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,"BARES, CANTINAS Y SIMILARES",URBANA,MASCULINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,35,1
ANTIOQUIA,MEDELLÍN (CT),02/19/2020 12:00:00 AM,EL POBLADO C-14,ARTÍCULO 239. HURTO PERSONAS,USO SUSTANCIAS TOXICAS / ESCOPOLAMINADO,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,29,1
ANTIOQUIA,MEDELLÍN (CT),02/04/2020 12:00:00 AM,EL POBLADO C-14,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,VIAS PUBLICAS,URBANA,MASCULINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,35,1
ANTIOQUIA,MEDELLÍN (CT),01/26/2020 12:00:00 AM,EL POBLADO C-14,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,FEMENINO,HOLANDA,TURISTA EXTRANJERO,22,1
ANTIOQUIA,MEDELLÍN (CT),05/25/2020 12:00:00 AM,BOSTON C-10,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,COLOMBIA,TURISTA EXTRANJERO,35,1
ANTIOQUIA,MEDELLÍN (CT),02/09/2020 12:00:00 AM,EL POBLADO C-14,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,FEMENINO,HOLANDA,TURISTA EXTRANJERO,33,1
ANTIOQUIA,MEDELLÍN (CT),07/08/2020 12:00:00 AM,EL POBLADO C-14,ARTÍCULO 239. HURTO PERSONAS,USO SUSTANCIAS TOXICAS / ESCOPOLAMINADO,VIAS PUBLICAS,URBANA,MASCULINO,ISRAEL,TURISTA EXTRANJERO,42,1
ANTIOQUIA,MEDELLÍN (CT),02/14/2020 12:00:00 AM,EL POBLADO C-14,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,DISCOTECAS,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,30,1
ANTIOQUIA,MEDELLÍN (CT),01/06/2020 12:00:00 AM,MANILA C-14,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,FEMENINO,PAISES BAJOS,TURISTA EXTRANJERO,24,1
ANTIOQUIA,MEDELLÍN (CT),01/17/2020 12:00:00 AM,GUAYAQUIL C-10,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,VIAS PUBLICAS,URBANA,MASCULINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,23,1
ANTIOQUIA,MEDELLÍN (CT),01/05/2020 12:00:00 AM,LA CANDELARIA C-10,ARTÍCULO 239. HURTO PERSONAS,ATRACO,PARQUES,URBANA,MASCULINO,COLOMBIA,TURISTA NACIONAL,37,1
ANTIOQUIA,MEDELLÍN (CT),02/06/2020 12:00:00 AM,MANILA C-14,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,ESTACION DEL METRO,URBANA,FEMENINO,FRANCIA,TURISTA EXTRANJERO,59,1
