DEPTO_HECHO,MUNICIPIO_HECHO,FECHA_HECHO,BARRIOS_HECHO,DESCRIPCION_CONDUCTA,MODALIDAD,CLASE_SITIO,ZONA,GENERO,PAIS_PERSONA,CARGO_PERSONA,EDAD,2020
CUNDINAMARCA,BOGOTÁ D.C. (CT),02/14/2020 12:00:00 AM,SANTA FE E-14,ARTÍCULO 239. HURTO PERSONAS,ATRACO,CEMENTERIO,URBANA,MASCULINO,ALEMANIA,TURISTA EXTRANJERO,21,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),02/07/2020 12:00:00 AM,CENTRO ADMINISTRATIVO E-17,ARTÍCULO 239. HURTO PERSONAS,SUPL. DIJIN-SIJIN,VIAS PUBLICAS,URBANA,FEMENINO,BRASIL,TURISTA EXTRANJERO,34,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),02/14/2020 12:00:00 AM,VERACRUZ E-3,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,PARQUES,URBANA,FEMENINO,PORTUGAL,TURISTA EXTRANJERO,66,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),02/25/2020 12:00:00 AM,CENTRO ADMINISTRATIVO E-17,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,FEMENINO,HOLANDA,TURISTA EXTRANJERO,28,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),02/03/2020 12:00:00 AM,VOTO NACIONAL E-14,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,ESTACION TRANSMILENIO AV JIMENEZ(CRC),URBANA,MASCULINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,57,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),02/19/2020 12:00:00 AM,LA CAPUCHINA E-3,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,ESTACION TRANSMILENIO AV JIMENEZ(CRC),URBANA,MASCULINO,FRANCIA,TURISTA EXTRANJERO,22,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),01/31/2020 12:00:00 AM,LA CONCORDIA E-17,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,FEMENINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,61,1
QUINDÍO,SALENTO,02/23/2020 12:00:00 AM,VDA.COCORA,ARTÍCULO 239. HURTO PERSONAS,ATRACO,PARQUES,RURAL,FEMENINO,ITALIA,TURISTA EXTRANJERO,32,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),02/10/2020 12:00:00 AM,CENTRO ADMINISTRATIVO E-17,ARTÍCULO 239. HURTO PERSONAS,SUPL. DIJIN-SIJIN,VIAS PUBLICAS,URBANA,FEMENINO,PERU,TURISTA EXTRANJERO,69,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),03/03/2020 12:00:00 AM,CENTRO ADMINISTRATIVO E-17,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,RESTAURANTES,URBANA,MASCULINO,ALEMANIA,TURISTA EXTRANJERO,51,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),01/28/2020 12:00:00 AM,LA CATEDRAL E-17,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,AUDITORIOS,URBANA,MASCULINO,MEXICO,TURISTA EXTRANJERO,39,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),01/28/2020 12:00:00 AM,LA CATEDRAL E-17,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,AUDITORIOS,URBANA,MASCULINO,MEXICO,TURISTA EXTRANJERO,53,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),01/24/2020 12:00:00 AM,LA CATEDRAL E-17,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,FEMENINO,FRANCIA,TURISTA EXTRANJERO,64,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),01/15/2020 12:00:00 AM,LA CATEDRAL E-17,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,RESTAURANTES,URBANA,MASCULINO,BRASIL,TURISTA EXTRANJERO,44,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),01/30/2020 12:00:00 AM,LA CONCORDIA E-17,ARTÍCULO 239. HURTO PERSONAS,SUPL. DIJIN-SIJIN,VIAS PUBLICAS,URBANA,FEMENINO,MEXICO,TURISTA EXTRANJERO,42,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),01/30/2020 12:00:00 AM,LA CONCORDIA E-17,ARTÍCULO 239. HURTO PERSONAS,SUPL. DIJIN-SIJIN,VIAS PUBLICAS,URBANA,MASCULINO,PERU,TURISTA EXTRANJERO,51,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),02/27/2020 12:00:00 AM,LA CATEDRAL E-17,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,FEMENINO,PERU,TURISTA EXTRANJERO,63,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),02/28/2020 12:00:00 AM,VERACRUZ E-3,ARTÍCULO 239. HURTO PERSONAS,ENGAÑO,CAJERO AUTOMATICO,URBANA,MASCULINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,59,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),01/23/2020 12:00:00 AM,SAN DIEGO E-3,ARTÍCULO 239. HURTO PERSONAS,ATRACO,PARQUES,URBANA,MASCULINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,33,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),01/10/2020 12:00:00 AM,LA MERCED E-3,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,ITALIA,TURISTA EXTRANJERO,31,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),01/11/2020 12:00:00 AM,CHAPINERO CENTRAL E-2,ARTÍCULO 239. HURTO PERSONAS,USO SUSTANCIAS TOXICAS / ESCOPOLAMINADO,"BARES, CANTINAS Y SIMILARES",URBANA,MASCULINO,AUSTRALIA,TURISTA EXTRANJERO,28,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),02/15/2020 12:00:00 AM,SEMINARIO E-2,ARTÍCULO 239. HURTO PERSONAS,ATRACO,PARQUES,URBANA,MASCULINO,FRANCIA,TURISTA EXTRANJERO,32,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),02/03/2020 12:00:00 AM,COLOMBIA E-12,ARTÍCULO 239. HURTO PERSONAS,ATRACO,APARTAMENTO,URBANA,MASCULINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,30,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),01/13/2020 12:00:00 AM,LA CONCORDIA E-17,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,LOCAL COMERCIAL,URBANA,FEMENINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,26,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),02/26/2020 12:00:00 AM,LA CATEDRAL E-17,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,FEMENINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,28,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),02/26/2020 12:00:00 AM,LA CATEDRAL E-17,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,JAPON,TURISTA EXTRANJERO,45,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),01/12/2020 12:00:00 AM,LA CATEDRAL E-17,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,VIAS PUBLICAS,URBANA,MASCULINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,23,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),01/29/2020 12:00:00 AM,LAS CRUCES E-3,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,FEMENINO,ITALIA,TURISTA EXTRANJERO,46,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),02/09/2020 12:00:00 AM,LA CATEDRAL E-17,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,MASCULINO,ALEMANIA,TURISTA EXTRANJERO,35,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),01/12/2020 12:00:00 AM,CANDELARIA E-17,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,65,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),01/23/2020 12:00:00 AM,EL RETIRO E-2,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,"BARES, CANTINAS Y SIMILARES",URBANA,MASCULINO,HOLANDA,TURISTA EXTRANJERO,19,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),02/29/2020 12:00:00 AM,SANTA FE E-14,ARTÍCULO 239. HURTO PERSONAS,ENGAÑO,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,HOLANDA,TURISTA EXTRANJERO,30,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),03/03/2020 12:00:00 AM,MODELIA E-9,ARTÍCULO 239. HURTO PERSONAS,USO SUSTANCIAS TOXICAS / ESCOPOLAMINADO,"BARES, CANTINAS Y SIMILARES",URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,26,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),01/27/2020 12:00:00 AM,PARQUE NACIONAL E-3,ARTÍCULO 239. HURTO PERSONAS,ATRACO,PARQUES,URBANA,MASCULINO,ITALIA,TURISTA EXTRANJERO,60,1
GUAJIRA,DIBULLA,01/22/2020 12:00:00 AM,VILLA DEL MAR,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,COLOMBIA,TURISTA NACIONAL,43,1
GUAJIRA,DIBULLA,01/22/2020 12:00:00 AM,VILLA DEL MAR,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,COLOMBIA,TURISTA NACIONAL,47,1
GUAJIRA,DIBULLA,03/13/2020 12:00:00 AM,CORREGIMIENTO DE PALOMINO,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,"HOTELES, RESIDENCIAS, Y SIMILARES.",RURAL,FEMENINO,COLOMBIA,TURISTA NACIONAL,40,1
GUAJIRA,DIBULLA,03/13/2020 12:00:00 AM,CORREGIMIENTO DE PALOMINO,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,"HOTELES, RESIDENCIAS, Y SIMILARES.",RURAL,MASCULINO,ALEMANIA,TURISTA EXTRANJERO,42,1
GUAJIRA,RIOHACHA (CT),01/09/2020 12:00:00 AM,ABAJO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,COLOMBIA,TURISTA NACIONAL,59,1
GUAJIRA,RIOHACHA (CT),05/02/2020 12:00:00 AM,ABAJO,ARTÍCULO 239. HURTO PERSONAS,RAPONAZO,VIAS PUBLICAS,URBANA,FEMENINO,ESPAÑA,TURISTA EXTRANJERO,38,1
GUAJIRA,RIOHACHA (CT),01/27/2020 12:00:00 AM,SAN FRANCISCO,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,VIAS PUBLICAS,URBANA,MASCULINO,INGLATERRA,TURISTA EXTRANJERO,26,1
GUAJIRA,URIBIA,03/19/2020 12:00:00 AM,CORREGIMIENTO DE PUERTO BOLIVAR,ARTÍCULO 239. HURTO PERSONAS,ATRACO,TRAMO DE VIA,RURAL,MASCULINO,RUSIA,TURISTA EXTRANJERO,33,1
QUINDÍO,SALENTO,02/23/2020 12:00:00 AM,VDA.COCORA,ARTÍCULO 239. HURTO PERSONAS,ATRACO,PARQUES,RURAL,FEMENINO,ITALIA,TURISTA EXTRANJERO,40,1
HUILA,GARZÓN,03/01/2020 12:00:00 AM,VILLAS DEL CAFE,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,INTERIOR VEHICULO SERVICIO PUBLICO,URBANA,MASCULINO,ESPAÑA,TURISTA EXTRANJERO,39,1
MAGDALENA,SANTA MARTA (CT),01/22/2020 12:00:00 AM,SAN MARTIN,ARTÍCULO 239. HURTO PERSONAS,ATRACO,PLAYA,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,38,1
MAGDALENA,SANTA MARTA (CT),01/25/2020 12:00:00 AM,RODADERO TRADICIONAL,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,RESTAURANTES,URBANA,MASCULINO,COLOMBIA,TURISTA NACIONAL,30,1
MAGDALENA,SANTA MARTA (CT),01/08/2020 12:00:00 AM,RODADERO TRADICIONAL,ARTÍCULO 239. HURTO PERSONAS,ROMPIMIENTO DE VIDRIO,VIAS PUBLICAS,URBANA,FEMENINO,COLOMBIA,TURISTA NACIONAL,39,1
MAGDALENA,SANTA MARTA (CT),01/07/2020 12:00:00 AM,RODADERO SUR,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,FEMENINO,COLOMBIA,TURISTA NACIONAL,49,1
MAGDALENA,SANTA MARTA (CT),01/31/2020 12:00:00 AM,RODADERO TRADICIONAL,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,PLAYA,URBANA,FEMENINO,COLOMBIA,TURISTA NACIONAL,31,1
MAGDALENA,SANTA MARTA (CT),02/04/2020 12:00:00 AM,PESCAITO,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,ESTABLECIMIENTO PUBLICO,URBANA,FEMENINO,ARGENTINA,TURISTA EXTRANJERO,63,1
MAGDALENA,SANTA MARTA (CT),02/10/2020 12:00:00 AM,RODADERO SUR,ARTÍCULO 239. HURTO PERSONAS,ATRACO,PLAYA,URBANA,FEMENINO,VENEZUELA,TURISTA EXTRANJERO,25,1
MAGDALENA,SANTA MARTA (CT),01/04/2020 12:00:00 AM,RODADERO TRADICIONAL,ARTÍCULO 111. LESIONES PERSONALES,RIÑAS,PLAYA,URBANA,MASCULINO,COLOMBIA,TURISTA NACIONAL,39,1
MAGDALENA,SANTA MARTA (CT),01/23/2020 12:00:00 AM,RODADERO TRADICIONAL,ARTÍCULO 239. HURTO PERSONAS,RAPONAZO,PLAYA,URBANA,FEMENINO,COLOMBIA,TURISTA NACIONAL,24,1
MAGDALENA,SANTA MARTA (CT),01/10/2020 12:00:00 AM,RODADERO TRADICIONAL,ARTÍCULO 239. HURTO PERSONAS,RAPONAZO,VIAS PUBLICAS,URBANA,FEMENINO,COLOMBIA,TURISTA NACIONAL,45,1
MAGDALENA,SANTA MARTA (CT),02/01/2020 12:00:00 AM,RODADERO SUR,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,VIAS PUBLICAS,URBANA,MASCULINO,COLOMBIA,TURISTA NACIONAL,25,1
MAGDALENA,SANTA MARTA (CT),01/14/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,38,1
MAGDALENA,SANTA MARTA (CT),02/04/2020 12:00:00 AM,RODADERO TRADICIONAL,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,PLAYA,URBANA,FEMENINO,COLOMBIA,TURISTA NACIONAL,38,1
MAGDALENA,SANTA MARTA (CT),01/30/2020 12:00:00 AM,RODADERO SUR,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,DENTRO DE LA VIVIENDA,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,28,1
MAGDALENA,SANTA MARTA (CT),01/03/2020 12:00:00 AM,CENTRO HISTORICO,ARTÍCULO 239. HURTO PERSONAS,USO SUSTANCIAS TOXICAS / ESCOPOLAMINADO,VIAS PUBLICAS,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,35,1
MAGDALENA,SANTA MARTA (CT),02/08/2020 12:00:00 AM,CENTRO HISTORICO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,FEMENINO,VENEZUELA,TURISTA EXTRANJERO,28,1
MAGDALENA,SANTA MARTA (CT),01/30/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,PLAYA,URBANA,FEMENINO,VENEZUELA,TURISTA EXTRANJERO,25,1
MAGDALENA,SANTA MARTA (CT),01/15/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,PLAYA,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,27,1
MAGDALENA,SANTA MARTA (CT),03/11/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,CANADA,TURISTA EXTRANJERO,43,1
MAGDALENA,SANTA MARTA (CT),02/29/2020 12:00:00 AM,LOS COCOS,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,MASCULINO,ALEMANIA,TURISTA EXTRANJERO,29,1
MAGDALENA,SANTA MARTA (CT),02/01/2020 12:00:00 AM,TAGANGA,ARTÍCULO 239. HURTO RESIDENCIAS,VENTOSA,CASAS DE HABITACION,URBANA,FEMENINO,COLOMBIA,TURISTA EXTRANJERO,23,1
MAGDALENA,SANTA MARTA (CT),02/01/2020 12:00:00 AM,TAGANGA,ARTÍCULO 239. HURTO RESIDENCIAS,VENTOSA,CASAS DE HABITACION,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,29,1
MAGDALENA,SANTA MARTA (CT),04/14/2020 12:00:00 AM,CENTRO HISTORICO,ARTÍCULO 239. HURTO RESIDENCIAS,VENTOSA,CASAS DE HABITACION,URBANA,FEMENINO,ALEMANIA,TURISTA EXTRANJERO,32,1
MAGDALENA,SANTA MARTA (CT),01/08/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,33,1
MAGDALENA,SANTA MARTA (CT),03/15/2020 12:00:00 AM,GAIRA CENTRO,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,FEMENINO,FRANCIA,TURISTA EXTRANJERO,29,1
MAGDALENA,SANTA MARTA (CT),01/10/2020 12:00:00 AM,LIBERTADOR,ARTÍCULO 239. HURTO PERSONAS,VIOLACION DE CERRADURA,DENTRO DE LA VIVIENDA,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,34,1
MAGDALENA,SANTA MARTA (CT),01/23/2020 12:00:00 AM,CENTRO HISTORICO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,FEMENINO,ESPAÑA,TURISTA EXTRANJERO,28,1
MAGDALENA,SANTA MARTA (CT),09/24/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,AUSTRALIA,TURISTA EXTRANJERO,33,1
MAGDALENA,SANTA MARTA (CT),03/01/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,BRASIL,TURISTA EXTRANJERO,36,1
MAGDALENA,SANTA MARTA (CT),02/19/2020 12:00:00 AM,CENTRO HISTORICO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,COSTA RICA,TURISTA EXTRANJERO,51,1
MAGDALENA,SANTA MARTA (CT),01/23/2020 12:00:00 AM,RODADERO SUR,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,PLAYA,URBANA,FEMENINO,COLOMBIA,TURISTA NACIONAL,22,1
MAGDALENA,SANTA MARTA (CT),01/05/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,PLAYA,URBANA,MASCULINO,COLOMBIA,TURISTA NACIONAL,35,1
MAGDALENA,SANTA MARTA (CT),01/06/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,FEMENINO,DINAMARCA,TURISTA EXTRANJERO,31,1
MAGDALENA,SANTA MARTA (CT),01/06/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,DINAMARCA,TURISTA EXTRANJERO,36,1
MAGDALENA,SANTA MARTA (CT),01/15/2020 12:00:00 AM,TAGANGA,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,FEMENINO,VENEZUELA,TURISTA EXTRANJERO,34,1
MAGDALENA,SANTA MARTA (CT),03/03/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,MASCULINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,30,1
MAGDALENA,SANTA MARTA (CT),01/13/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,28,1
MAGDALENA,SANTA MARTA (CT),01/07/2020 12:00:00 AM,RODADERO SUR,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,COLOMBIA,TURISTA NACIONAL,35,1
MAGDALENA,SANTA MARTA (CT),01/05/2020 12:00:00 AM,BELLA VISTA,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,35,1
MAGDALENA,SANTA MARTA (CT),04/20/2020 12:00:00 AM,FLORIDA,ARTÍCULO 239. HURTO PERSONAS,RAPONAZO,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,FEMENINO,ARGENTINA,TURISTA EXTRANJERO,28,1
MAGDALENA,SANTA MARTA (CT),03/18/2020 12:00:00 AM,MANZANARES,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,19,1
MAGDALENA,SANTA MARTA (CT),03/03/2020 12:00:00 AM,PREDIOS POZOS COLORADOS,ARTÍCULO 239. HURTO PERSONAS,ATRACO,PLAYA,URBANA,MASCULINO,COLOMBIA,TURISTA NACIONAL,24,1
MAGDALENA,SANTA MARTA (CT),01/17/2020 12:00:00 AM,BELLO HORIZONTE,ARTÍCULO 239. HURTO PERSONAS,ATRACO,PLAYA,URBANA,FEMENINO,COLOMBIA,TURISTA NACIONAL,42,1
MAGDALENA,SANTA MARTA (CT),01/30/2020 12:00:00 AM,PARQUE TAIRONA,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,PARQUE NACIONAL NATURAL TAYRONA,RURAL,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,52,1
MAGDALENA,SANTA MARTA (CT),02/01/2020 12:00:00 AM,CALABAZO,ARTÍCULO 239. HURTO PERSONAS,RAPONAZO,CARRETERA,RURAL,FEMENINO,POLONIA,TURISTA EXTRANJERO,45,1
MAGDALENA,SANTA MARTA (CT),01/31/2020 12:00:00 AM,AEROMAR,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,FEMENINO,BELGICA,TURISTA EXTRANJERO,27,1
MAGDALENA,SANTA MARTA (CT),03/05/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,FEMENINO,SUECIA,TURISTA EXTRANJERO,25,1
MAGDALENA,SANTA MARTA (CT),02/23/2020 12:00:00 AM,LA PAZ,ARTÍCULO 239. HURTO PERSONAS,ATRACO,CARRETERA,RURAL,MASCULINO,ALEMANIA,TURISTA EXTRANJERO,25,1
MAGDALENA,SANTA MARTA (CT),01/15/2020 12:00:00 AM,LIBERTADOR,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,TRANSPORTE PÚBLICO,URBANA,FEMENINO,NUEVA ZELANDA,TURISTA EXTRANJERO,30,1
MAGDALENA,SANTA MARTA (CT),01/10/2020 12:00:00 AM,BOLIVARIANA,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,TERMINAL DE TRANSPORTES,URBANA,FEMENINO,VENEZUELA,TURISTA EXTRANJERO,26,1
MAGDALENA,SANTA MARTA (CT),01/01/2020 12:00:00 AM,VILLA ALEJANDRINA,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,VIAS PUBLICAS,URBANA,MASCULINO,COLOMBIA,TURISTA NACIONAL,22,1
META,ACACÍAS,01/04/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,APARTAMENTO,URBANA,FEMENINO,COLOMBIA,TURISTA NACIONAL,32,1
META,ACACÍAS,01/10/2020 12:00:00 AM,LA TIZA,ARTÍCULO 239. HURTO PERSONAS,RAPONAZO,VIAS PUBLICAS,URBANA,FEMENINO,COLOMBIA,TURISTA NACIONAL,30,1
META,ACACÍAS,01/05/2020 12:00:00 AM,VEREDA SAN JOSE,ARTÍCULO 269J. TRANSFERENCIA NO CONSENTIDA DE ACTIVOS,TRANSACCIONES ELECTRONICAS (COMPRA VENTA DE PRODUCTOS POR INTERNET),INTERIOR VEHICULO PARTICULAR,RURAL,FEMENINO,COLOMBIA,TURISTA NACIONAL,34,1
META,ACACÍAS,01/03/2020 12:00:00 AM,VEREDA EL CLAVEL,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,RIOS,RURAL,MASCULINO,COLOMBIA,TURISTA NACIONAL,25,1
META,RESTREPO,10/18/2020 12:00:00 AM,VEREDA CANEY ALTO,ARTÍCULO 239. HURTO RESIDENCIAS,FACTOR DE OPORTUNIDAD,FINCAS Y SIMILARES,RURAL,MASCULINO,COLOMBIA,TURISTA NACIONAL,32,1
META,RESTREPO,10/18/2020 12:00:00 AM,BALCONES,ARTÍCULO 239. HURTO RESIDENCIAS,FACTOR DE OPORTUNIDAD,FINCAS Y SIMILARES,RURAL,FEMENINO,COLOMBIA,TURISTA NACIONAL,32,1
META,RESTREPO,10/18/2020 12:00:00 AM,VEREDA MIRALINDO,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,FINCAS Y SIMILARES,RURAL,FEMENINO,COLOMBIA,TURISTA NACIONAL,30,1
META,RESTREPO,10/10/2020 12:00:00 AM,VEREDA MARAYAL,ARTÍCULO 239. HURTO PERSONAS,VIOLACION DE CERRADURA,INTERIOR VEHICULO PARTICULAR,URBANA,MASCULINO,COLOMBIA,TURISTA NACIONAL,38,1
META,VILLAVICENCIO (CT),10/09/2020 12:00:00 AM,HACARITAMA,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,COLOMBIA,TURISTA NACIONAL,18,1
